source_record_id,simulation_time,uav_name,uav_id,packet_size,avg_latency_ms,packet_loss_pct,throughput,label,attack_type,isolation_forest_prediction,random_forest_prediction,anomaly_score,random_forest_attack_probability,run_id,evaluation_scope,pqc_status,pqc_scope,pqc_representative_demo_verified,pqc_algorithm_benchmarked,pqc_benchmark_mean_encapsulation_ms,pqc_benchmark_mean_decapsulation_ms
40,9.90994,uav1,1,686,41.4891,1.08017,16.5345,0,Normal,0,0,-0.07590908555704656,0.0,send247_pqc_macos_20260906,Controlled OMNeT++ simulation results,completed,Representative payload proof-of-concept; individual event not cryptographically protected,True,ML-KEM-768,0.021197925,0.023707339999999997
16,5.01383,uav3,3,433,47.6888,2.84215,9.07971,0,Normal,0,0,-0.08191547191818271,0.0,send247_pqc_macos_20260906,Controlled OMNeT++ simulation results,completed,Representative payload proof-of-concept; individual event not cryptographically protected,True,ML-KEM-768,0.021197925,0.023707339999999997
96,22.0761,uav3,3,552,65.3664,3.09271,8.44471,0,Normal,0,0,-0.08367353094076091,0.0,send247_pqc_macos_20260906,Controlled OMNeT++ simulation results,completed,Representative payload proof-of-concept; individual event not cryptographically protected,True,ML-KEM-768,0.021197925,0.023707339999999997
266,55.7331,uav1,1,906,67.3324,4.5795,13.4556,0,Normal,1,0,0.004365968884544991,0.0,send247_pqc_macos_20260906,Controlled OMNeT++ simulation results,completed,Representative payload proof-of-concept; individual event not cryptographically protected,True,ML-KEM-768,0.021197925,0.023707339999999997
368,75.3651,uav2,2,493,78.8984,3.28316,6.24854,0,Normal,0,0,-0.02951093361314905,0.0,send247_pqc_macos_20260906,Controlled OMNeT++ simulation results,completed,Representative payload proof-of-concept; individual event not cryptographically protected,True,ML-KEM-768,0.021197925,0.023707339999999997
476,96.03,uav2,2,399,21.0123,3.50278,18.9889,0,Normal,1,0,0.012872502871593583,0.0,send247_pqc_macos_20260906,Controlled OMNeT++ simulation results,completed,Representative payload proof-of-concept; individual event not cryptographically protected,True,ML-KEM-768,0.021197925,0.023707339999999997
268,56.0828,uav5,5,811,39.9887,2.29775,20.2807,0,Normal,0,0,-0.08279600730279701,0.0,send247_pqc_macos_20260906,Controlled OMNeT++ simulation results,completed,Representative payload proof-of-concept; individual event not cryptographically protected,True,ML-KEM-768,0.021197925,0.023707339999999997
34,8.71904,uav4,4,698,56.7838,2.46664,12.2922,0,Normal,0,0,-0.09728749919779012,0.0,send247_pqc_macos_20260906,Controlled OMNeT++ simulation results,completed,Representative payload proof-of-concept; individual event not cryptographically protected,True,ML-KEM-768,0.021197925,0.023707339999999997
118,25.5331,uav5,5,530,72.7071,1.10963,7.28952,0,Normal,0,0,-0.04175160667375144,0.0,send247_pqc_macos_20260906,Controlled OMNeT++ simulation results,completed,Representative payload proof-of-concept; individual event not cryptographically protected,True,ML-KEM-768,0.021197925,0.023707339999999997
440,89.3046,uav4,4,920,21.5914,3.87768,42.6097,0,Normal,1,0,0.03387251040441175,0.0,send247_pqc_macos_20260906,Controlled OMNeT++ simulation results,completed,Representative payload proof-of-concept; individual event not cryptographically protected,True,ML-KEM-768,0.021197925,0.023707339999999997
474,95.8725,uav4,4,808,55.3244,4.25218,14.6048,0,Normal,0,0,-0.05744515929295324,0.0,send247_pqc_macos_20260906,Controlled OMNeT++ simulation results,completed,Representative payload proof-of-concept; individual event not cryptographically protected,True,ML-KEM-768,0.021197925,0.023707339999999997
486,98.4229,uav2,2,740,52.3471,3.30483,14.1364,0,Normal,0,0,-0.09534526014363459,0.0,send247_pqc_macos_20260906,Controlled OMNeT++ simulation results,completed,Representative payload proof-of-concept; individual event not cryptographically protected,True,ML-KEM-768,0.021197925,0.023707339999999997
420,85.1473,uav2,2,464,62.475,2.5332,7.42697,0,Normal,0,0,-0.0880681200726437,0.0,send247_pqc_macos_20260906,Controlled OMNeT++ simulation results,completed,Representative payload proof-of-concept; individual event not cryptographically protected,True,ML-KEM-768,0.021197925,0.023707339999999997
232,49.0273,uav1,1,350,63.9016,3.13014,5.47717,0,Normal,0,0,-0.04352855061703442,0.0,send247_pqc_macos_20260906,Controlled OMNeT++ simulation results,completed,Representative payload proof-of-concept; individual event not cryptographically protected,True,ML-KEM-768,0.021197925,0.023707339999999997
454,92.1273,uav1,1,294,28.8961,1.77215,10.1744,0,Normal,0,0,-0.00653260905133346,0.0,send247_pqc_macos_20260906,Controlled OMNeT++ simulation results,completed,Representative payload proof-of-concept; individual event not cryptographically protected,True,ML-KEM-768,0.021197925,0.023707339999999997
442,89.6696,uav2,2,979,39.7726,4.65871,24.615,0,Normal,0,0,-0.010502258641586382,0.0,send247_pqc_macos_20260906,Controlled OMNeT++ simulation results,completed,Representative payload proof-of-concept; individual event not cryptographically protected,True,ML-KEM-768,0.021197925,0.023707339999999997
114,25.3362,uav4,4,582,38.0945,3.72234,15.2778,0,Normal,0,0,-0.07639927001812152,0.0,send247_pqc_macos_20260906,Controlled OMNeT++ simulation results,completed,Representative payload proof-of-concept; individual event not cryptographically protected,True,ML-KEM-768,0.021197925,0.023707339999999997
278,57.5558,uav1,1,384,60.3229,4.14691,6.36575,0,Normal,0,0,-0.04443374699411984,0.0,send247_pqc_macos_20260906,Controlled OMNeT++ simulation results,completed,Representative payload proof-of-concept; individual event not cryptographically protected,True,ML-KEM-768,0.021197925,0.023707339999999997
244,50.767,uav3,3,724,176.926,24.1034,4.09212,1,OMNeT++ abnormal communication behaviour,1,1,0.06640900332479183,1.0,send247_pqc_macos_20260906,Controlled OMNeT++ simulation results,completed,Representative payload proof-of-concept; individual event not cryptographically protected,True,ML-KEM-768,0.021197925,0.023707339999999997
174,37.5142,uav2,2,770,31.1716,1.48437,24.702,0,Normal,0,0,-0.07185463740690684,0.0,send247_pqc_macos_20260906,Controlled OMNeT++ simulation results,completed,Representative payload proof-of-concept; individual event not cryptographically protected,True,ML-KEM-768,0.021197925,0.023707339999999997
270,56.2227,uav2,2,710,44.4345,3.98849,15.9786,0,Normal,0,0,-0.08841221025374096,0.0,send247_pqc_macos_20260906,Controlled OMNeT++ simulation results,completed,Representative payload proof-of-concept; individual event not cryptographically protected,True,ML-KEM-768,0.021197925,0.023707339999999997
336,68.978,uav2,2,850,54.5451,4.3836,15.5834,0,Normal,0,0,-0.050963551192754586,0.0,send247_pqc_macos_20260906,Controlled OMNeT++ simulation results,completed,Representative payload proof-of-concept; individual event not cryptographically protected,True,ML-KEM-768,0.021197925,0.023707339999999997
378,77.2609,uav4,4,334,61.0144,3.48127,5.47412,0,Normal,0,0,-0.031308251684728505,0.0,send247_pqc_macos_20260906,Controlled OMNeT++ simulation results,completed,Representative payload proof-of-concept; individual event not cryptographically protected,True,ML-KEM-768,0.021197925,0.023707339999999997
382,78.3795,uav3,3,707,144.375,23.5567,4.89697,1,OMNeT++ abnormal communication behaviour,1,1,0.05597366670022208,1.0,send247_pqc_macos_20260906,Controlled OMNeT++ simulation results,completed,Representative payload proof-of-concept; individual event not cryptographically protected,True,ML-KEM-768,0.021197925,0.023707339999999997
74,17.8506,uav2,2,830,44.8558,4.63206,18.5037,0,Normal,0,0,-0.04451273385899457,0.0,send247_pqc_macos_20260906,Controlled OMNeT++ simulation results,completed,Representative payload proof-of-concept; individual event not cryptographically protected,True,ML-KEM-768,0.021197925,0.023707339999999997
204,44.0873,uav1,1,376,77.1675,2.55258,4.87252,0,Normal,0,0,-0.0215316480546639,0.0,send247_pqc_macos_20260906,Controlled OMNeT++ simulation results,completed,Representative payload proof-of-concept; individual event not cryptographically protected,True,ML-KEM-768,0.021197925,0.023707339999999997
182,38.8731,uav1,1,913,38.7078,4.46452,23.587,0,Normal,0,0,-0.02723141309966326,0.0,send247_pqc_macos_20260906,Controlled OMNeT++ simulation results,completed,Representative payload proof-of-concept; individual event not cryptographically protected,True,ML-KEM-768,0.021197925,0.023707339999999997
422,85.7505,uav1,1,666,56.7049,1.81757,11.745,0,Normal,0,0,-0.09391587590297473,0.0,send247_pqc_macos_20260906,Controlled OMNeT++ simulation results,completed,Representative payload proof-of-concept; individual event not cryptographically protected,True,ML-KEM-768,0.021197925,0.023707339999999997
142,30.6246,uav4,4,835,44.431,0.649501,18.7932,0,Normal,0,0,-0.03366566761662959,0.0,send247_pqc_macos_20260906,Controlled OMNeT++ simulation results,completed,Representative payload proof-of-concept; individual event not cryptographically protected,True,ML-KEM-768,0.021197925,0.023707339999999997
198,42.4761,uav2,2,349,69.8629,2.8387,4.9955,0,Normal,0,0,-0.04215512112539377,0.0,send247_pqc_macos_20260906,Controlled OMNeT++ simulation results,completed,Representative payload proof-of-concept; individual event not cryptographically protected,True,ML-KEM-768,0.021197925,0.023707339999999997
364,74.8258,uav5,5,356,54.8091,1.63936,6.49527,0,Normal,0,0,-0.056584742240677055,0.0,send247_pqc_macos_20260906,Controlled OMNeT++ simulation results,completed,Representative payload proof-of-concept; individual event not cryptographically protected,True,ML-KEM-768,0.021197925,0.023707339999999997
176,37.5431,uav3,3,812,64.373,2.53449,12.614,0,Normal,0,0,-0.07197420144692418,0.0,send247_pqc_macos_20260906,Controlled OMNeT++ simulation results,completed,Representative payload proof-of-concept; individual event not cryptographically protected,True,ML-KEM-768,0.021197925,0.023707339999999997
342,71.218,uav5,5,356,43.9061,4.77184,8.10822,0,Normal,0,0,-0.010783342190513134,0.0,send247_pqc_macos_20260906,Controlled OMNeT++ simulation results,completed,Representative payload proof-of-concept; individual event not cryptographically protected,True,ML-KEM-768,0.021197925,0.023707339999999997
356,73.7139,uav5,5,494,25.5217,2.54373,19.3561,0,Normal,0,0,-0.03454182004588047,0.0,send247_pqc_macos_20260906,Controlled OMNeT++ simulation results,completed,Representative payload proof-of-concept; individual event not cryptographically protected,True,ML-KEM-768,0.021197925,0.023707339999999997
470,95.5503,uav3,3,601,175.909,22.7773,3.41654,1,OMNeT++ abnormal communication behaviour,1,1,0.06363808408212368,1.0,send247_pqc_macos_20260906,Controlled OMNeT++ simulation results,completed,Representative payload proof-of-concept; individual event not cryptographically protected,True,ML-KEM-768,0.021197925,0.023707339999999997
184,39.524,uav3,3,299,57.0595,1.30822,5.24015,0,Normal,0,0,-0.012704972866363518,0.0,send247_pqc_macos_20260906,Controlled OMNeT++ simulation results,completed,Representative payload proof-of-concept; individual event not cryptographically protected,True,ML-KEM-768,0.021197925,0.023707339999999997
462,93.8651,uav3,3,925,101.945,23.5102,9.07352,1,OMNeT++ abnormal communication behaviour,1,1,0.052604677730455185,0.99,send247_pqc_macos_20260906,Controlled OMNeT++ simulation results,completed,Representative payload proof-of-concept; individual event not cryptographically protected,True,ML-KEM-768,0.021197925,0.023707339999999997
430,87.1246,uav5,5,872,28.9087,3.16504,30.1639,0,Normal,0,0,-0.06074866773830684,0.0,send247_pqc_macos_20260906,Controlled OMNeT++ simulation results,completed,Representative payload proof-of-concept; individual event not cryptographically protected,True,ML-KEM-768,0.021197925,0.023707339999999997
448,91.4318,uav5,5,276,43.2096,3.56232,6.38747,0,Normal,0,0,-0.014191939843807178,0.0,send247_pqc_macos_20260906,Controlled OMNeT++ simulation results,completed,Representative payload proof-of-concept; individual event not cryptographically protected,True,ML-KEM-768,0.021197925,0.023707339999999997
460,93.6196,uav2,2,946,75.3267,2.12518,12.5586,0,Normal,0,0,-0.010771739608919417,0.0,send247_pqc_macos_20260906,Controlled OMNeT++ simulation results,completed,Representative payload proof-of-concept; individual event not cryptographically protected,True,ML-KEM-768,0.021197925,0.023707339999999997
100,22.2023,uav1,1,579,77.1649,3.56025,7.50341,0,Normal,0,0,-0.04850597995760647,0.0,send247_pqc_macos_20260906,Controlled OMNeT++ simulation results,completed,Representative payload proof-of-concept; individual event not cryptographically protected,True,ML-KEM-768,0.021197925,0.023707339999999997
316,65.5236,uav2,2,660,39.5411,2.26704,16.6915,0,Normal,0,0,-0.08537762697170714,0.0,send247_pqc_macos_20260906,Controlled OMNeT++ simulation results,completed,Representative payload proof-of-concept; individual event not cryptographically protected,True,ML-KEM-768,0.021197925,0.023707339999999997
2,2.18569,uav2,2,979,58.7536,2.22972,16.6628,0,Normal,0,0,-0.025959986954438352,0.0,send247_pqc_macos_20260906,Controlled OMNeT++ simulation results,completed,Representative payload proof-of-concept; individual event not cryptographically protected,True,ML-KEM-768,0.021197925,0.023707339999999997
98,22.097,uav4,4,666,54.3351,3.37514,12.2573,0,Normal,0,0,-0.0988231932337289,0.0,send247_pqc_macos_20260906,Controlled OMNeT++ simulation results,completed,Representative payload proof-of-concept; individual event not cryptographically protected,True,ML-KEM-768,0.021197925,0.023707339999999997
108,23.8683,uav3,3,405,77.925,3.61639,5.19731,0,Normal,0,0,-0.01476649611117653,0.005,send247_pqc_macos_20260906,Controlled OMNeT++ simulation results,completed,Representative payload proof-of-concept; individual event not cryptographically protected,True,ML-KEM-768,0.021197925,0.023707339999999997
178,38.4747,uav5,5,879,33.6449,3.56245,26.1258,0,Normal,0,0,-0.0854825704219549,0.0,send247_pqc_macos_20260906,Controlled OMNeT++ simulation results,completed,Representative payload proof-of-concept; individual event not cryptographically protected,True,ML-KEM-768,0.021197925,0.023707339999999997
214,46.1289,uav4,4,829,42.4502,3.40819,19.5288,0,Normal,0,0,-0.09170038631623245,0.0,send247_pqc_macos_20260906,Controlled OMNeT++ simulation results,completed,Representative payload proof-of-concept; individual event not cryptographically protected,True,ML-KEM-768,0.021197925,0.023707339999999997
148,31.7629,uav4,4,650,33.8445,0.552713,19.2055,0,Normal,0,0,-0.021799248257287185,0.0,send247_pqc_macos_20260906,Controlled OMNeT++ simulation results,completed,Representative payload proof-of-concept; individual event not cryptographically protected,True,ML-KEM-768,0.021197925,0.023707339999999997
390,79.4026,uav5,5,899,33.9576,2.52088,26.4742,0,Normal,0,0,-0.0656972949661937,0.0,send247_pqc_macos_20260906,Controlled OMNeT++ simulation results,completed,Representative payload proof-of-concept; individual event not cryptographically protected,True,ML-KEM-768,0.021197925,0.023707339999999997
42,10.583,uav5,5,654,56.4698,2.1367,11.5814,0,Normal,0,0,-0.09315029592893304,0.0,send247_pqc_macos_20260906,Controlled OMNeT++ simulation results,completed,Representative payload proof-of-concept; individual event not cryptographically protected,True,ML-KEM-768,0.021197925,0.023707339999999997
322,66.5192,uav4,4,994,47.5162,4.1017,20.9192,0,Normal,0,0,-0.02409393902178958,0.0,send247_pqc_macos_20260906,Controlled OMNeT++ simulation results,completed,Representative payload proof-of-concept; individual event not cryptographically protected,True,ML-KEM-768,0.021197925,0.023707339999999997
312,64.6193,uav3,3,946,112.789,25.7235,8.38732,1,OMNeT++ abnormal communication behaviour,1,1,0.05551248149752053,0.99,send247_pqc_macos_20260906,Controlled OMNeT++ simulation results,completed,Representative payload proof-of-concept; individual event not cryptographically protected,True,ML-KEM-768,0.021197925,0.023707339999999997
464,94.3143,uav4,4,437,57.3339,0.538302,7.62202,0,Normal,0,0,-0.014356961745566665,0.0,send247_pqc_macos_20260906,Controlled OMNeT++ simulation results,completed,Representative payload proof-of-concept; individual event not cryptographically protected,True,ML-KEM-768,0.021197925,0.023707339999999997
144,31.4272,uav1,1,329,61.8457,2.17981,5.31969,0,Normal,0,0,-0.04042135946694503,0.0,send247_pqc_macos_20260906,Controlled OMNeT++ simulation results,completed,Representative payload proof-of-concept; individual event not cryptographically protected,True,ML-KEM-768,0.021197925,0.023707339999999997
212,44.8215,uav4,4,483,62.695,1.43362,7.70396,0,Normal,0,0,-0.07057595838127428,0.0,send247_pqc_macos_20260906,Controlled OMNeT++ simulation results,completed,Representative payload proof-of-concept; individual event not cryptographically protected,True,ML-KEM-768,0.021197925,0.023707339999999997
28,7.57489,uav3,3,384,39.4485,3.27936,9.73422,0,Normal,0,0,-0.06180302795682896,0.0,send247_pqc_macos_20260906,Controlled OMNeT++ simulation results,completed,Representative payload proof-of-concept; individual event not cryptographically protected,True,ML-KEM-768,0.021197925,0.023707339999999997
412,83.1425,uav2,2,372,34.2645,3.82276,10.8567,0,Normal,0,0,-0.04117865015942623,0.0,send247_pqc_macos_20260906,Controlled OMNeT++ simulation results,completed,Representative payload proof-of-concept; individual event not cryptographically protected,True,ML-KEM-768,0.021197925,0.023707339999999997
26,7.41269,uav5,5,439,32.993,3.05795,13.3058,0,Normal,0,0,-0.05772515908100467,0.0,send247_pqc_macos_20260906,Controlled OMNeT++ simulation results,completed,Representative payload proof-of-concept; individual event not cryptographically protected,True,ML-KEM-768,0.021197925,0.023707339999999997
332,68.7281,uav3,3,583,140.274,26.8197,4.15615,1,OMNeT++ abnormal communication behaviour,1,1,0.055589701452717355,1.0,send247_pqc_macos_20260906,Controlled OMNeT++ simulation results,completed,Representative payload proof-of-concept; individual event not cryptographically protected,True,ML-KEM-768,0.021197925,0.023707339999999997
104,23.5432,uav4,4,854,68.8279,2.35319,12.4078,0,Normal,0,0,-0.046813760787418,0.0,send247_pqc_macos_20260906,Controlled OMNeT++ simulation results,completed,Representative payload proof-of-concept; individual event not cryptographically protected,True,ML-KEM-768,0.021197925,0.023707339999999997
116,25.3476,uav2,2,952,43.0077,3.28107,22.1356,0,Normal,0,0,-0.04984761139300986,0.0,send247_pqc_macos_20260906,Controlled OMNeT++ simulation results,completed,Representative payload proof-of-concept; individual event not cryptographically protected,True,ML-KEM-768,0.021197925,0.023707339999999997
276,57.2725,uav4,4,484,24.7713,1.6278,19.5387,0,Normal,0,0,-0.02821770260344969,0.0,send247_pqc_macos_20260906,Controlled OMNeT++ simulation results,completed,Representative payload proof-of-concept; individual event not cryptographically protected,True,ML-KEM-768,0.021197925,0.023707339999999997
242,50.55,uav4,4,995,78.6497,4.04394,12.651,0,Normal,1,0,0.04661987296191483,0.0,send247_pqc_macos_20260906,Controlled OMNeT++ simulation results,completed,Representative payload proof-of-concept; individual event not cryptographically protected,True,ML-KEM-768,0.021197925,0.023707339999999997
