Time,UAV,Event,PacketSize,Source,Destination,Latency,PacketLoss,Throughput,Label
23.2624,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
23.5432,uav4,Send,854,uav4,groundStation,68.8279,2.35319,12.4078,Normal
23.5432,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
23.7212,uav2,Send,952,uav2,groundStation,34.9878,3.11573,27.2095,Normal
23.7212,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
23.8683,uav3,Send,405,uav3,groundStation,77.925,3.61639,5.19731,Normal
23.8683,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
24.0965,uav1,Send,373,uav1,groundStation,77.365,1.5374,4.8213,Normal
24.0965,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
24.4948,uav5,Send,484,uav5,groundStation,56.3836,2.6369,8.58406,Normal
24.4948,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
25.3362,uav4,Send,582,uav4,groundStation,38.0945,3.72234,15.2778,Normal
25.3362,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
25.3476,uav2,Send,952,uav2,groundStation,43.0077,3.28107,22.1356,Normal
25.3476,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
25.5331,uav5,Send,530,uav5,groundStation,72.7071,1.10963,7.28952,Normal
25.5331,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
26.0452,uav3,Send,422,uav3,groundStation,54.1979,2.09321,7.78628,Normal
26.0452,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
26.3845,uav1,Send,385,uav1,groundStation,54.4595,0.651313,7.06947,Normal
26.3845,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
26.7389,uav5,Send,472,uav5,groundStation,59.1262,1.94449,7.98293,Normal
26.7389,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
27.6565,uav4,Send,490,uav4,groundStation,25.8356,2.46139,18.9661,Normal
27.6565,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
27.8459,uav2,Send,982,uav2,groundStation,35.6205,4.12787,27.5684,Normal
27.8459,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
28.227,uav3,Send,983,uav3,groundStation,46.8756,0.951021,20.9704,Normal
28.227,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
28.6017,uav5,Send,872,uav5,groundStation,41.1387,3.71409,21.1966,Normal
28.6017,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
28.6909,uav1,Send,677,uav1,groundStation,28.9669,4.57091,23.3715,Normal
28.6909,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
29.4261,uav3,Send,744,uav3,groundStation,29.7496,2.78742,25.0088,Normal
29.4261,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
29.92,uav2,Send,473,uav2,groundStation,27.4292,4.00573,17.2444,Normal
29.92,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
30.5402,uav5,Send,430,uav5,groundStation,68.4391,2.35129,6.28295,Normal
30.5402,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
30.6246,uav4,Send,835,uav4,groundStation,44.431,0.649501,18.7932,Normal
30.6246,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
31.4272,uav1,Send,329,uav1,groundStation,61.8457,2.17981,5.31969,Normal
31.4272,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
31.6572,uav3,Send,986,uav3,groundStation,23.0353,4.39872,42.8039,Normal
31.6572,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
31.7629,uav4,Send,650,uav4,groundStation,33.8445,0.552713,19.2055,Normal
31.7629,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
32.616,uav2,Send,679,uav2,groundStation,76.6474,3.78496,8.85875,Normal
32.616,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
32.6784,uav5,Send,300,uav5,groundStation,40.3642,2.84466,7.43232,Normal
32.6784,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
33.3342,uav1,Send,289,uav1,groundStation,40.3391,1.39998,7.16426,Normal
33.3342,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
33.3882,uav3,Send,292,uav3,groundStation,30.2592,4.07164,9.64996,Normal
33.3882,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
34.2928,uav4,Send,453,uav4,groundStation,72.4744,2.05408,6.25048,Normal
34.2928,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
34.6575,uav5,Send,336,uav5,groundStation,56.4952,3.66986,5.94741,Normal
34.6575,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
34.6932,uav1,Send,385,uav1,groundStation,67.0187,1.24112,5.74467,Normal
34.6932,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
35.116,uav2,Send,632,uav2,groundStation,23.0222,3.09753,27.4518,Normal
35.116,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
35.3151,uav3,Send,432,uav3,groundStation,76.0528,1.70268,5.68026,Normal
35.3151,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
36.6933,uav1,Send,764,uav1,groundStation,52.138,4.38927,14.6534,Normal
36.6933,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
36.8508,uav5,Send,285,uav5,groundStation,63.8073,4.8402,4.46657,Normal
36.8508,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
37.181,uav4,Send,529,uav4,groundStation,43.8933,1.45576,12.052,Normal
37.181,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
37.5142,uav2,Send,770,uav2,groundStation,31.1716,1.48437,24.702,Normal
37.5142,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
37.5431,uav3,Send,812,uav3,groundStation,64.373,2.53449,12.614,Normal
37.5431,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
38.4747,uav5,Send,879,uav5,groundStation,33.6449,3.56245,26.1258,Normal
38.4747,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
38.6007,uav4,Send,807,uav4,groundStation,23.4817,0.753883,34.3671,Normal
38.6007,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
38.8731,uav1,Send,913,uav1,groundStation,38.7078,4.46452,23.587,Normal
38.8731,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
39.524,uav3,Send,299,uav3,groundStation,57.0595,1.30822,5.24015,Normal
39.524,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
39.9834,uav5,Send,349,uav5,groundStation,71.2768,0.802623,4.8964,Normal
39.9834,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
40.4029,uav2,Send,754,uav2,groundStation,47.2218,3.54687,15.9672,Normal
40.4029,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
40.4695,uav4,Send,796,uav4,groundStation,73.8003,3.71614,10.7859,Normal
40.4695,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
41.2658,uav1,Send,831,uav1,groundStation,74.3851,1.68495,11.1716,Normal
41.2658,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
41.609,uav3,Send,862,uav3,groundStation,33.7532,3.9127,25.5384,Normal
41.609,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
42.4711,uav5,Send,451,uav5,groundStation,74.2655,2.22559,6.07281,Normal
42.4711,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
42.4761,uav2,Send,349,uav2,groundStation,69.8629,2.8387,4.9955,Normal
42.4761,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
42.5402,uav1,Send,416,uav1,groundStation,72.359,1.90337,5.74911,Normal
42.5402,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
43.4502,uav4,Send,343,uav4,groundStation,67.8828,4.48402,5.05283,Normal
43.4502,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
44.0873,uav1,Send,376,uav1,groundStation,77.1675,2.55258,4.87252,Normal
44.0873,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
44.3722,uav3,Send,971,uav3,groundStation,32.9305,4.04933,29.4864,Normal
44.3722,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
44.7341,uav2,Send,682,uav2,groundStation,72.8179,1.64274,9.36583,Normal
44.7341,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
44.7627,uav5,Send,532,uav5,groundStation,77.4471,2.8319,6.86921,Normal
44.7627,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
44.8215,uav4,Send,483,uav4,groundStation,62.695,1.43362,7.70396,Normal
44.8215,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
46.1289,uav4,Send,829,uav4,groundStation,42.4502,3.40819,19.5288,Normal
46.1289,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
46.3614,uav2,Send,392,uav2,groundStation,36.6577,1.33906,10.6935,Normal
46.3614,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
46.4623,uav1,Send,395,uav1,groundStation,71.8313,3.86186,5.49899,Normal
46.4623,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
46.7062,uav5,Send,538,uav5,groundStation,36.6136,1.09431,14.694,Normal
46.7062,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
47.2669,uav3,Send,689,uav3,groundStation,62.2685,2.28227,11.065,Normal
47.2669,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
47.6973,uav1,Send,629,uav1,groundStation,32.2919,1.15181,19.4785,Normal
47.6973,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
48.056,uav5,Send,693,uav5,groundStation,27.49,2.10026,25.2092,Normal
48.056,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
48.056,uav4,Send,764,uav4,groundStation,21.8272,3.94396,35.0022,Normal
48.056,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
48.535,uav2,Send,705,uav2,groundStation,74.2232,1.47853,9.49838,Normal
48.535,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
49.0273,uav1,Send,350,uav1,groundStation,63.9016,3.13014,5.47717,Normal
49.0273,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
49.1932,uav3,Send,892,uav3,groundStation,32.5494,1.81466,27.4045,Normal
49.1932,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
49.7019,uav2,Send,362,uav2,groundStation,60.6358,0.951323,5.97007,Normal
49.7019,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
50.1185,uav1,Send,806,uav1,groundStation,20.5544,3.51462,39.213,Normal
50.1185,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
50.5001,uav5,Send,976,uav5,groundStation,62.2097,3.13885,15.6889,Normal
50.5001,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
50.55,uav4,Send,995,uav4,groundStation,78.6497,4.04394,12.651,Normal
50.55,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
50.767,uav3,Send,724,uav3,groundStation,176.926,24.1034,4.09212,Attack
50.767,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
50.8279,uav2,Send,1005,uav2,groundStation,49.5361,4.7362,20.2882,Normal
50.8279,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
51.8634,uav5,Send,868,uav5,groundStation,49.1696,3.33702,17.6532,Normal
51.8634,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
52.2304,uav3,Send,798,uav3,groundStation,167.564,31.9789,4.76236,Attack
52.2304,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
52.7846,uav1,Send,953,uav1,groundStation,66.3996,0.559566,14.3525,Normal
52.7846,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
53.2591,uav2,Send,627,uav2,groundStation,28.8885,4.01192,21.7042,Normal
53.2591,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
53.303,uav4,Send,758,uav4,groundStation,65.2142,2.73826,11.6232,Normal
53.303,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
53.6191,uav3,Send,393,uav3,groundStation,132.839,17.738,2.95846,Attack
53.6191,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
54.2805,uav5,Send,977,uav5,groundStation,37.8705,1.35432,25.7984,Normal
54.2805,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
54.3111,uav4,Send,515,uav4,groundStation,27.2394,1.50943,18.9064,Normal
54.3111,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
55.4756,uav3,Send,788,uav3,groundStation,145.537,34.4584,5.41444,Attack
55.4756,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
55.7331,uav1,Send,906,uav1,groundStation,67.3324,4.5795,13.4556,Normal
55.7331,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
56.0828,uav5,Send,811,uav5,groundStation,39.9887,2.29775,20.2807,Normal
56.0828,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
56.2227,uav2,Send,710,uav2,groundStation,44.4345,3.98849,15.9786,Normal
56.2227,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
57.1628,uav3,Send,879,uav3,groundStation,104.274,34.0574,8.4297,Attack
57.1628,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
57.245,uav5,Send,482,uav5,groundStation,52.0079,3.96761,9.26782,Normal
57.245,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
57.2725,uav4,Send,484,uav4,groundStation,24.7713,1.6278,19.5387,Normal
57.2725,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
57.5558,uav1,Send,384,uav1,groundStation,60.3229,4.14691,6.36575,Normal
57.5558,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
57.6872,uav2,Send,548,uav2,groundStation,45.2324,3.88461,12.1152,Normal
57.6872,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
58.4517,uav4,Send,259,uav4,groundStation,71.6331,2.20565,3.61565,Normal
58.4517,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
58.8541,uav5,Send,700,uav5,groundStation,36.2197,1.65263,19.3265,Normal
58.8541,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
59.0466,uav1,Send,282,uav1,groundStation,23.3225,2.64415,12.0913,Normal
59.0466,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
59.614,uav3,Send,457,uav3,groundStation,141.967,28.6656,3.21905,Attack
59.614,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
59.8019,uav2,Send,862,uav2,groundStation,71.1581,1.77583,12.1139,Normal
59.8019,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
60.1171,uav5,Send,391,uav5,groundStation,69.6122,1.31518,5.61683,Normal
60.1171,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
60.6498,uav1,Send,876,uav1,groundStation,25.1826,0.755816,34.7859,Normal
60.6498,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
60.9058,uav4,Send,583,uav4,groundStation,32.3957,4.00413,17.9962,Normal
60.9058,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
61.498,uav3,Send,901,uav3,groundStation,114.269,22.4763,7.88488,Attack
61.498,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
61.6688,uav2,Send,775,uav2,groundStation,20.5813,1.7277,37.6556,Normal
61.6688,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
62.1358,uav5,Send,648,uav5,groundStation,28.0079,1.38674,23.1363,Normal
62.1358,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
62.6377,uav3,Send,616,uav3,groundStation,157.214,30.9959,3.91822,Attack
62.6377,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
62.9698,uav1,Send,994,uav1,groundStation,48.1699,2.83476,20.6353,Normal
62.9698,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
63.6004,uav4,Send,538,uav4,groundStation,54.6526,2.36555,9.844,Normal
63.6004,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
64.4529,uav2,Send,710,uav2,groundStation,58.7342,2.6388,12.0884,Normal
64.4529,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
64.6193,uav3,Send,946,uav3,groundStation,112.789,25.7235,8.38732,Attack
64.6193,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
64.6942,uav5,Send,603,uav5,groundStation,58.9678,1.74918,10.2259,Normal
64.6942,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
65.5236,uav2,Send,660,uav2,groundStation,39.5411,2.26704,16.6915,Normal
65.5236,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
65.7353,uav1,Send,631,uav1,groundStation,29.5922,1.34209,21.3232,Normal
65.7353,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
65.907,uav3,Send,772,uav3,groundStation,107.381,24.1382,7.18937,Attack
65.907,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
66.5192,uav4,Send,994,uav4,groundStation,47.5162,4.1017,20.9192,Normal
66.5192,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
66.7726,uav5,Send,794,uav5,groundStation,25.6076,4.5682,31.0065,Normal
66.7726,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
66.8176,uav2,Send,975,uav2,groundStation,48.3932,3.6483,20.1474,Normal
66.8176,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
66.9941,uav1,Send,976,uav1,groundStation,21.6241,3.36227,45.1347,Normal
66.9941,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
68.6252,uav5,Send,360,uav5,groundStation,29.6323,0.543949,12.1489,Normal
68.6252,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
68.7281,uav3,Send,583,uav3,groundStation,140.274,26.8197,4.15615,Attack
68.7281,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
68.9676,uav4,Send,783,uav4,groundStation,53.4687,2.55751,14.6441,Normal
68.9676,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
68.978,uav2,Send,850,uav2,groundStation,54.5451,4.3836,15.5834,Normal
68.978,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
69.4569,uav1,Send,937,uav1,groundStation,74.5306,4.96593,12.572,Normal
69.4569,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
70.1625,uav4,Send,590,uav4,groundStation,29.5649,0.925061,19.9561,Normal
70.1625,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
71.218,uav5,Send,356,uav5,groundStation,43.9061,4.77184,8.10822,Normal
71.218,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
71.6196,uav2,Send,764,uav2,groundStation,45.4419,2.5132,16.8127,Normal
71.6196,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
71.6355,uav3,Send,929,uav3,groundStation,102.664,21.1397,9.0489,Attack
71.6355,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
72.0879,uav1,Send,712,uav1,groundStation,41.3221,2.49745,17.2305,Normal
72.0879,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
72.3434,uav5,Send,880,uav5,groundStation,20.9797,2.89332,41.9453,Normal
72.3434,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
72.4203,uav4,Send,376,uav4,groundStation,44.0756,2.91324,8.5308,Normal
72.4203,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
73.1369,uav2,Send,546,uav2,groundStation,56.5507,4.75386,9.65506,Normal
73.1369,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
73.7139,uav5,Send,494,uav5,groundStation,25.5217,2.54373,19.3561,Normal
73.7139,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
73.8013,uav1,Send,838,uav1,groundStation,33.9646,1.56728,24.6727,Normal
73.8013,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
74.3339,uav2,Send,883,uav2,groundStation,21.9845,2.85067,40.1647,Normal
74.3339,groundStation,Receive,0,UAV,groundStation,0,0,0,Normal
74.5535,uav3,Send,870,uav3,groundStation,143.567,20.0388,6.05988,Attack
